# Force βfλ, Rxy^2
9.8769e+00,    8.5101e-02
9.9684e+00,    8.4394e-02
1.0061e+01,    8.3693e-02
1.0154e+01,    8.2997e-02
1.0248e+01,    8.2306e-02
1.0343e+01,    8.1621e-02
1.0438e+01,    8.0941e-02
1.0535e+01,    8.0267e-02
1.0633e+01,    7.9597e-02
1.0731e+01,    7.8933e-02
1.0830e+01,    7.8274e-02
1.0931e+01,    7.7620e-02
1.1032e+01,    7.6972e-02
1.1134e+01,    7.6328e-02
1.1237e+01,    7.5690e-02
1.1341e+01,    7.5056e-02
1.1446e+01,    7.4427e-02
1.1552e+01,    7.3804e-02
1.1659e+01,    7.3185e-02
1.1767e+01,    7.2571e-02
1.1876e+01,    7.1962e-02
1.1986e+01,    7.1358e-02
1.2097e+01,    7.0759e-02
1.2209e+01,    7.0164e-02
1.2322e+01,    6.9574e-02
1.2436e+01,    6.8988e-02
1.2551e+01,    6.8408e-02
1.2667e+01,    6.7832e-02
1.2785e+01,    6.7260e-02
1.2903e+01,    6.6693e-02
1.3023e+01,    6.6131e-02
1.3143e+01,    6.5573e-02
1.3265e+01,    6.5019e-02
1.3388e+01,    6.4470e-02
1.3512e+01,    6.3925e-02
1.3637e+01,    6.3385e-02
1.3763e+01,    6.2849e-02
1.3890e+01,    6.2317e-02
1.4019e+01,    6.1790e-02
1.4149e+01,    6.1266e-02
1.4280e+01,    6.0747e-02
1.4412e+01,    6.0233e-02
1.4545e+01,    5.9722e-02
1.4680e+01,    5.9215e-02
1.4816e+01,    5.8713e-02
1.4953e+01,    5.8214e-02
1.5092e+01,    5.7719e-02
1.5231e+01,    5.7229e-02
1.5372e+01,    5.6742e-02
1.5515e+01,    5.6260e-02
1.5658e+01,    5.5781e-02
1.5803e+01,    5.5306e-02
1.5950e+01,    5.4835e-02
1.6097e+01,    5.4368e-02
1.6246e+01,    5.3905e-02
1.6397e+01,    5.3445e-02
1.6549e+01,    5.2989e-02
1.6702e+01,    5.2537e-02
1.6856e+01,    5.2089e-02
1.7013e+01,    5.1644e-02
1.7170e+01,    5.1203e-02
1.7329e+01,    5.0765e-02
1.7489e+01,    5.0331e-02
1.7651e+01,    4.9900e-02
1.7815e+01,    4.9473e-02
1.7980e+01,    4.9050e-02
1.8146e+01,    4.8630e-02
1.8314e+01,    4.8213e-02
